# NASA CMAPs Pre-Split Data
# Alpha: 0.02
# Number of clients: 100
# Total units: 709
# Format: client_id,unit_id,fd_file,data_size,original_file
34,1,FD001,192,train_FD001.txt
34,29,FD002,151,train_FD002.txt
34,31,FD004,263,train_FD004.txt
34,82,FD002,200,train_FD002.txt
29,1,FD002,149,train_FD002.txt
29,32,FD002,281,train_FD002.txt
29,44,FD002,205,train_FD002.txt
29,90,FD002,188,train_FD002.txt
29,206,FD004,263,train_FD004.txt
10,1,FD003,259,train_FD003.txt
10,36,FD004,143,train_FD004.txt
10,76,FD002,244,train_FD002.txt
10,113,FD002,232,train_FD002.txt
10,121,FD002,210,train_FD002.txt
10,133,FD002,159,train_FD002.txt
10,224,FD004,268,train_FD004.txt
3,1,FD004,321,train_FD004.txt
3,37,FD002,210,train_FD002.txt
3,87,FD003,172,train_FD003.txt
3,99,FD001,185,train_FD001.txt
3,102,FD002,164,train_FD002.txt
3,141,FD004,199,train_FD004.txt
3,211,FD002,214,train_FD002.txt
3,214,FD002,146,train_FD002.txt
79,2,FD001,287,train_FD001.txt
79,30,FD003,218,train_FD003.txt
79,60,FD003,190,train_FD003.txt
79,61,FD004,244,train_FD004.txt
79,145,FD004,228,train_FD004.txt
79,174,FD002,193,train_FD002.txt
79,197,FD002,154,train_FD002.txt
79,199,FD004,176,train_FD004.txt
79,205,FD004,242,train_FD004.txt
79,218,FD002,237,train_FD002.txt
8,2,FD002,269,train_FD002.txt
8,7,FD001,259,train_FD001.txt
8,34,FD001,195,train_FD001.txt
8,49,FD001,215,train_FD001.txt
8,84,FD002,259,train_FD002.txt
8,98,FD004,245,train_FD004.txt
8,100,FD003,152,train_FD003.txt
8,136,FD004,205,train_FD004.txt
8,149,FD002,289,train_FD002.txt
8,242,FD004,222,train_FD004.txt
8,258,FD002,143,train_FD002.txt
93,2,FD003,253,train_FD003.txt
93,42,FD001,196,train_FD001.txt
93,53,FD001,195,train_FD001.txt
93,118,FD002,344,train_FD002.txt
93,243,FD004,327,train_FD004.txt
98,2,FD004,299,train_FD004.txt
98,8,FD004,230,train_FD004.txt
98,32,FD001,191,train_FD001.txt
98,55,FD003,525,train_FD003.txt
98,96,FD002,208,train_FD002.txt
98,126,FD002,199,train_FD002.txt
98,128,FD002,303,train_FD002.txt
98,187,FD004,273,train_FD004.txt
98,216,FD002,229,train_FD002.txt
32,3,FD001,179,train_FD001.txt
32,5,FD002,154,train_FD002.txt
32,13,FD001,163,train_FD001.txt
32,98,FD002,167,train_FD002.txt
32,229,FD002,176,train_FD002.txt
81,3,FD002,206,train_FD002.txt
81,6,FD002,175,train_FD002.txt
81,18,FD004,343,train_FD004.txt
81,173,FD002,151,train_FD002.txt
81,217,FD004,200,train_FD004.txt
70,3,FD003,222,train_FD003.txt
70,20,FD004,245,train_FD004.txt
70,64,FD003,195,train_FD003.txt
70,71,FD002,194,train_FD002.txt
70,89,FD002,188,train_FD002.txt
70,99,FD003,145,train_FD003.txt
70,105,FD004,170,train_FD004.txt
70,128,FD004,248,train_FD004.txt
70,148,FD004,193,train_FD004.txt
70,188,FD004,254,train_FD004.txt
27,3,FD004,307,train_FD004.txt
27,55,FD004,344,train_FD004.txt
27,70,FD001,137,train_FD001.txt
27,85,FD003,266,train_FD003.txt
27,94,FD003,392,train_FD003.txt
27,97,FD002,145,train_FD002.txt
27,123,FD004,226,train_FD004.txt
27,177,FD004,242,train_FD004.txt
37,4,FD001,189,train_FD001.txt
37,168,FD004,196,train_FD004.txt
37,174,FD004,370,train_FD004.txt
77,4,FD002,235,train_FD002.txt
77,18,FD002,209,train_FD002.txt
77,24,FD002,191,train_FD002.txt
77,93,FD002,189,train_FD002.txt
77,146,FD002,263,train_FD002.txt
77,151,FD004,351,train_FD004.txt
77,166,FD002,204,train_FD002.txt
77,215,FD004,361,train_FD004.txt
77,224,FD002,174,train_FD002.txt
77,252,FD002,135,train_FD002.txt
2,4,FD003,272,train_FD003.txt
2,29,FD003,223,train_FD003.txt
2,53,FD002,148,train_FD002.txt
2,78,FD004,250,train_FD004.txt
2,85,FD002,347,train_FD002.txt
2,213,FD004,197,train_FD004.txt
4,4,FD004,274,train_FD004.txt
4,72,FD003,232,train_FD003.txt
4,73,FD001,213,train_FD001.txt
4,84,FD004,159,train_FD004.txt
4,194,FD002,148,train_FD002.txt
4,210,FD004,167,train_FD004.txt
63,5,FD001,269,train_FD001.txt
63,28,FD001,165,train_FD001.txt
63,114,FD002,203,train_FD002.txt
63,196,FD004,174,train_FD004.txt
63,217,FD002,162,train_FD002.txt
48,5,FD003,213,train_FD003.txt
48,68,FD001,199,train_FD001.txt
48,75,FD002,231,train_FD002.txt
48,76,FD003,153,train_FD003.txt
48,78,FD003,221,train_FD003.txt
48,86,FD002,190,train_FD002.txt
48,122,FD004,174,train_FD004.txt
48,142,FD002,208,train_FD002.txt
48,171,FD004,399,train_FD004.txt
48,181,FD004,134,train_FD004.txt
48,233,FD002,190,train_FD002.txt
25,5,FD004,193,train_FD004.txt
25,162,FD002,194,train_FD002.txt
25,198,FD002,205,train_FD002.txt
1,6,FD001,188,train_FD001.txt
1,9,FD003,406,train_FD003.txt
1,51,FD003,190,train_FD003.txt
1,52,FD002,174,train_FD002.txt
1,73,FD004,181,train_FD004.txt
1,75,FD003,259,train_FD003.txt
